Date,Sales,Profit,Units_Sold,Cost,Revenue
2022-01-01,125000,28000,1250,97000,125000
2022-02-01,132000,31000,1320,101000,132000
2022-03-01,145000,35000,1450,110000,145000
2022-04-01,138000,32000,1380,106000,138000
2022-05-01,152000,38000,1520,114000,152000
2022-06-01,168000,42000,1680,126000,168000
2022-07-01,175000,45000,1750,130000,175000
2022-08-01,182000,48000,1820,134000,182000
2022-09-01,165000,40000,1650,125000,165000
2022-10-01,178000,46000,1780,132000,178000
2022-11-01,195000,52000,1950,143000,195000
2022-12-01,210000,58000,2100,152000,210000
2023-01-01,135000,32000,1350,103000,135000
2023-02-01,142000,35000,1420,107000,142000
2023-03-01,158000,40000,1580,118000,158000
2023-04-01,148000,36000,1480,112000,148000
2023-05-01,165000,42000,1650,123000,165000
2023-06-01,182000,48000,1820,134000,182000
2023-07-01,190000,52000,1900,138000,190000
2023-08-01,198000,55000,1980,143000,198000
2023-09-01,178000,45000,1780,133000,178000
2023-10-01,192000,50000,1920,142000,192000
2023-11-01,212000,58000,2120,154000,212000
2023-12-01,228000,65000,2280,163000,228000
2024-01-01,145000,36000,1450,109000,145000
2024-02-01,155000,40000,1550,115000,155000
2024-03-01,172000,45000,1720,127000,172000
2024-04-01,162000,41000,1620,121000,162000
2024-05-01,178000,47000,1780,131000,178000
2024-06-01,198000,54000,1980,144000,198000
2024-07-01,205000,58000,2050,147000,205000
2024-08-01,215000,62000,2150,153000,215000
2024-09-01,195000,52000,1950,143000,195000
2024-10-01,208000,57000,2080,151000,208000
